id,person1,person2,person3,person4,person5,person6,person7,person8,person9
0,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0,0
11,1,0,0,0,0,0,0,0,0
12,0,0,0,0,0,1,1,0,0
13,0,0,0,0,0,1,1,0,0
14,0,0,0,0,0,1,1,0,0
15,0,0,0,0,0,1,1,0,0
16,0,0,0,0,0,1,1,0,0
17,0,0,0,0,0,1,1,0,0
18,0,0,0,0,0,1,1,0,0
19,0,0,0,0,0,1,1,0,0
20,0,0,0,0,0,1,1,0,0
21,0,0,0,0,0,1,1,0,0
22,0,0,0,0,0,1,1,0,0
23,0,0,0,0,0,1,1,0,0
24,0,1,0,0,1,0,0,0,0
25,0,1,0,0,1,0,0,0,0
26,0,1,0,0,1,0,0,0,0
27,0,1,0,0,1,0,0,0,0
28,0,1,0,0,1,0,0,0,0
29,0,1,0,0,1,0,0,0,0
30,0,1,0,0,1,0,0,0,0
31,0,1,0,0,1,0,0,0,0
32,0,1,0,0,1,0,0,0,0
33,0,1,0,0,1,0,0,0,0
34,0,1,0,0,1,0,0,0,0
35,0,1,0,0,1,0,0,0,0
36,1,1,1,1,0,0,0,1,0
37,1,1,1,1,0,0,0,1,0
38,1,1,1,1,0,0,0,1,0
39,1,1,1,1,0,0,0,1,0
40,1,1,1,1,0,0,0,1,0
41,1,1,1,1,0,0,0,1,0
42,1,1,1,1,0,0,0,1,0
43,1,1,1,1,0,0,0,1,0
44,1,1,1,1,0,0,0,1,0
45,1,1,1,1,0,0,0,1,0
46,1,1,1,1,0,0,0,1,0
47,1,1,1,1,0,0,0,1,0
48,1,1,0,0,0,0,0,0,0
49,1,1,0,0,0,0,0,0,0
50,1,1,0,0,0,0,0,0,0
51,1,1,0,0,0,0,0,0,0
52,1,1,0,0,0,0,0,0,0
53,1,1,0,0,0,0,0,0,0
54,1,1,0,0,0,0,0,0,0
55,1,1,0,0,0,0,0,0,0
56,1,1,0,0,0,0,0,0,0
57,1,1,0,0,0,0,0,0,0
58,1,1,0,0,0,0,0,0,0
59,1,1,0,0,0,0,0,0,0
60,1,1,1,0,0,0,0,1,1
61,1,1,1,0,0,0,0,1,1
62,1,1,1,0,0,0,0,1,1
63,1,1,1,0,0,0,0,1,1
64,1,1,1,0,0,0,0,1,1
65,1,1,1,0,0,0,0,1,1
66,1,1,1,0,0,0,0,1,1
67,1,1,1,0,0,0,0,1,1
68,1,1,1,0,0,0,0,1,1
69,1,1,1,0,0,0,0,1,1
70,1,1,1,0,0,0,0,1,1
71,1,1,1,0,0,0,0,1,1
72,1,1,1,1,0,0,0,1,1
73,1,1,1,1,0,0,0,1,1
74,1,1,1,1,0,0,0,1,1
75,1,1,1,1,0,0,0,1,1
76,1,1,1,1,0,0,0,1,1
77,1,1,1,1,0,0,0,1,1
78,1,1,1,1,0,0,0,1,1
79,1,1,1,1,0,0,0,1,1
80,1,1,1,1,0,0,0,1,1
81,1,1,1,1,0,0,0,1,1
82,1,1,1,1,0,0,0,1,1
83,1,1,1,1,0,0,0,1,1
